Город,Улица,Сообщество,Номер телефона сообщества,Ссылка на сообщество,Информация о товарах
 Астрахань,ул. Бертюльская 7,Тигруля || семейный детский сад || Астрахань,Не указан в сообществе,https://vk.com/clubigrulia,Товар №1 Наименование товара: Раннее развитие для детей от 1 года до 3 лет Ссылка на товар: https://vk.com/market?w=product-72513261_2970004 Цена товара: 3 500 ₽ Изображение товара: https://sun9-60.userapi.com/c858228/v858228704/100fd9/m1KslupGON4.jpg Дата добавления товара: 27 ноября в 19:03 Товар №2 Наименование товара: Антон Маркович Кайгородов Ссылка на товар: https://vk.com/market?w=product-103622091_3748718 Цена товара: 3 000 ₽ Изображение товара: https://sun9-12.userapi.com/oF4X52HITnGnFn2q33_dt_X_ncrmqC7jGwpC_w/0_xBNGB7-yM.jpg Дата добавления товара: 27 января в 16:50
 Екатеринбург,Проспект Ленина 69/14,Индивидуальные консультации  в КИТАКай,Не указан в сообществе,https://vk.com/kitakai_spezialist,Товар №1 Наименование товара: Антон Маркович Кайгородов Ссылка на товар: https://vk.com/market?w=product-103622091_3748718 Цена товара: 3 000 ₽ Изображение товара: https://sun9-12.userapi.com/oF4X52HITnGnFn2q33_dt_X_ncrmqC7jGwpC_w/0_xBNGB7-yM.jpg Дата добавления товара: 27 января в 16:50 Товар №2 Наименование товара: Обучение игре на барабанах(Базовый курс в группе. 2 месяца) Ссылка на товар: https://vk.com/market?w=product-134804594_1023231 Цена товара: 10 000 ₽ Изображение товара: https://sun9-41.userapi.com/c837532/v837532863/64175/qwVsXNLTbqs.jpg Дата добавления товара: 15 сентября в 14:01
 Москва,м. Курская Нижний Сусальный переулок д. 5,Улетные подарки - Подарочные сертификаты,+7 (495) 191-38-28,https://vk.com/uletnye_podarki,Товар №1 Наименование товара: Обучение игре на барабанах(Базовый курс в группе. 2 месяца) Ссылка на товар: https://vk.com/market?w=product-134804594_1023231 Цена товара: 10 000 ₽ Изображение товара: https://sun9-41.userapi.com/c837532/v837532863/64175/qwVsXNLTbqs.jpg Дата добавления товара: 15 сентября в 14:01 Товар №2 Наименование товара: Ударные Ссылка на товар: https://vk.com/market?w=product-181094726_2952359 Цена товара: 3 300 ₽ Изображение товара: https://sun9-60.userapi.com/c854328/v854328535/21607/DYl5KqI2iuE.jpg Дата добавления товара: 13 апреля в 18:14
 Нижний Новгород,ул. Долгополова 28/44.,Музыкальная школа MUZCLASS,+7 (930) 283-50-30,https://vk.com/muzclassnn,Товар №1 Наименование товара: Ударные Ссылка на товар: https://vk.com/market?w=product-181094726_2952359 Цена товара: 3 300 ₽ Изображение товара: https://sun9-60.userapi.com/c854328/v854328535/21607/DYl5KqI2iuE.jpg Дата добавления товара: 13 апреля в 18:14 Товар №2 Наименование товара: Базовый курс игры на БАРАБАНАХ Ссылка на товар: https://vk.com/market?w=product-177713212_2966248 Цена товара: 13 000 ₽ Изображение товара: https://sun9-51.userapi.com/c850036/v850036761/1242f8/EpjMNQFn3kY.jpg Дата добавления товара: 6 февраля в 23:02
 Новосибирск,улица Фрунзе 19,Sky music - музыкальная школа для взрослых,+7 (923) 700-44-33,https://vk.com/skymusicnsk,Товар №1 Наименование товара: Базовый курс игры на БАРАБАНАХ Ссылка на товар: https://vk.com/market?w=product-177713212_2966248 Цена товара: 13 000 ₽ Изображение товара: https://sun9-51.userapi.com/c850036/v850036761/1242f8/EpjMNQFn3kY.jpg Дата добавления товара: 6 февраля в 23:02 Товар №2 Наименование товара: Раннее развитие для детей от 1 года до 3 лет Ссылка на товар: https://vk.com/market?w=product-144370285_1321135 Цена товара: 3 999 ₽ Изображение товара: https://sun9-58.userapi.com/c855136/v855136070/17a3b7/O4W0UahcB_E.jpg Дата добавления товара: 3 апреля в 9:39
 Санкт-Петербург,Лыжный переулок 8к1,Тигруля || детский центр || СПб Лыжный пер.,+7 (911) 942-26-85,https://vk.com/clubigruliaspb,"Товар №1 Наименование товара: Раннее развитие для детей от 1 года до 3 лет Ссылка на товар: https://vk.com/market?w=product-144370285_1321135 Цена товара: 3 999 ₽ Изображение товара: https://sun9-58.userapi.com/c855136/v855136070/17a3b7/O4W0UahcB_E.jpg Дата добавления товара: 3 апреля в 9:39 Товар №2 Наименование товара: Видео Школа ""Барабаны Шаг За Шагом"" Вводная часть+Битовые ритмы и координация Ссылка на товар: https://vk.com/market?w=product-10602924_2696395 Цена товара: 1 000 ₽ Изображение товара: https://sun9-35.userapi.com/c847017/v847017582/121b11/VzzDeakpRUc.jpg Дата добавления товара: 2 ноября в 21:46"
 Тольятти,улица Ботаническая 13,Уроки Игры На Барабанах По Скайпу +79608354338,+7 (960) 835-43-38,https://vk.com/ddrumslessons,"Товар №1 Наименование товара: Видео Школа ""Барабаны Шаг За Шагом"" Вводная часть+Битовые ритмы и координация Ссылка на товар: https://vk.com/market?w=product-10602924_2696395 Цена товара: 1 000 ₽ Изображение товара: https://sun9-35.userapi.com/c847017/v847017582/121b11/VzzDeakpRUc.jpg Дата добавления товара: 2 ноября в 21:46 Товар №2 Наименование товара: Авторский курс Станислава Казакова по игре на Африканском Барабане Ссылка на товар: https://vk.com/market?w=product-15819536_3212307 Цена товара: 2 990 ₽ Изображение товара: https://sun9-28.userapi.com/c845217/v845217346/20400f/3cS-4MKtDNQ.jpg Дата добавления товара: 13 мая в 4:07"
Не указан в сообществе,,Джембе/Африканский барабан/АЛХИМИЯ РИТМА,+7 (909) 672-80-57,https://vk.com/alritma,Товар №1 Наименование товара: Авторский курс Станислава Казакова по игре на Африканском Барабане Ссылка на товар: https://vk.com/market?w=product-15819536_3212307 Цена товара: 2 990 ₽ Изображение товара: https://sun9-28.userapi.com/c845217/v845217346/20400f/3cS-4MKtDNQ.jpg Дата добавления товара: 13 мая в 4:07 Товар №2 Наименование товара: Курс для педагогов Ссылка на товар: https://vk.com/market?w=product-76246112_493855 Цена товара: 3 500 ₽ Изображение товара: https://sun9-12.userapi.com/pA8sf1jcw7DNvBWrEiimyo3TJ_WABJ59RSetcA/wOOs01u2qfs.jpg Дата добавления товара: 21 января в 11:40
Не указан в сообществе,,Как учить музыке радостно!,Не указан в сообществе,https://vk.com/orffpodhod,Товар №1 Наименование товара: Курс для педагогов Ссылка на товар: https://vk.com/market?w=product-76246112_493855 Цена товара: 3 500 ₽ Изображение товара: https://sun9-12.userapi.com/pA8sf1jcw7DNvBWrEiimyo3TJ_WABJ59RSetcA/wOOs01u2qfs.jpg Дата добавления товара: 21 января в 11:40 Товар №2 Наименование товара: КУРСЫ ИГРЫ НА БАРАБАНАХ Ссылка на товар: https://vk.com/market?w=product-118303667_640646 Цена товара: 150 б. р. Изображение товара: https://sun9-65.userapi.com/c626520/v626520587/691ac/wvgM-tK4_As.jpg Дата добавления товара: 3 марта в 19:56
Не указан в сообществе,,Музыкальная студия. Eart.by,Не указан в сообществе,https://vk.com/eartmusic,Товар №1 Наименование товара: КУРСЫ ИГРЫ НА БАРАБАНАХ Ссылка на товар: https://vk.com/market?w=product-118303667_640646 Цена товара: 150 б. р. Изображение товара: https://sun9-65.userapi.com/c626520/v626520587/691ac/wvgM-tK4_As.jpg Дата добавления товара: 3 марта в 19:56 Товар №2 Наименование товара: SMOBY Интерактивный Столик Cotoons  Ссылка на товар: https://vk.com/market?w=product-130545490_1085873 Цена товара: 1 700 грн. Изображение товара: https://sun9-67.userapi.com/c836623/v836623198/57f45/4TRccI-P05k.jpg Дата добавления товара: 11 мая в 14:14
